lid,cnt_selected,P,lclass
RF09,13,0.433333333333333,Random forest
RF25,13,0.433333333333333,Random forest
RF26,13,0.433333333333333,Random forest
RF07,12,0.4,Random forest
RF08,12,0.4,Random forest
RF17,12,0.4,Random forest
RF16,10,0.333333333333333,Random forest
RF27,10,0.333333333333333,Random forest
RF18,9,0.3,Random forest
EN1,4,0.133333333333333,Penalized regression
EN2,4,0.133333333333333,Penalized regression
EN3,4,0.133333333333333,Penalized regression
RF05,4,0.133333333333333,Random forest
RF22,4,0.133333333333333,Random forest
RF01,3,0.1,Random forest
RF02,3,0.1,Random forest
RF03,3,0.1,Random forest
RF04,3,0.1,Random forest
RF11,3,0.1,Random forest
RF13,3,0.1,Random forest
RF15,3,0.1,Random forest
RF06,2,0.0666666666666667,Random forest
RF10,2,0.0666666666666667,Random forest
RF12,2,0.0666666666666667,Random forest
RF14,2,0.0666666666666667,Random forest
RF19,2,0.0666666666666667,Random forest
RF20,2,0.0666666666666667,Random forest
RF21,2,0.0666666666666667,Random forest
RF23,2,0.0666666666666667,Random forest
RF24,2,0.0666666666666667,Random forest
